"","WS_c1.which.mclass....7...1."
"1","AT1G01010"
"2","AT1G01030"
"3","AT1G01110"
"4","AT1G01190"
"5","AT1G01225"
"6","AT1G01340"
"7","AT1G01370"
"8","AT1G01390"
"9","AT1G01450"
"10","AT1G01560"
"11","AT1G01570"
"12","AT1G01580"
"13","AT1G01590"
"14","AT1G01640"
"15","AT1G01660"
"16","AT1G01670"
"17","AT1G01690"
"18","AT1G01725"
"19","AT1G01740"
"20","AT1G01760"
"21","AT1G01840"
"22","AT1G01880"
"23","AT1G02050"
"24","AT1G02180"
"25","AT1G02260"
"26","AT1G02335"
"27","AT1G02340"
"28","AT1G02380"
"29","AT1G02400"
"30","AT1G02420"
"31","AT1G02460"
"32","AT1G02610"
"33","AT1G02650"
"34","AT1G02670"
"35","AT1G02680"
"36","AT1G02810"
"37","AT1G02900"
"38","AT1G02950"
"39","AT1G02970"
"40","AT1G03010"
"41","AT1G03100"
"42","AT1G03170"
"43","AT1G03180"
"44","AT1G03270"
"45","AT1G03300"
"46","AT1G03340"
"47","AT1G03470"
"48","AT1G03510"
"49","AT1G03540"
"50","AT1G03545"
"51","AT1G03550"
"52","AT1G03620"
"53","AT1G03650"
"54","AT1G03710"
"55","AT1G03750"
"56","AT1G03760"
"57","AT1G03770"
"58","AT1G03820"
"59","AT1G03850"
"60","AT1G03905"
"61","AT1G03990"
"62","AT1G03993"
"63","AT1G04030"
"64","AT1G04050"
"65","AT1G04070"
"66","AT1G04077"
"67","AT1G04090"
"68","AT1G04100"
"69","AT1G04117"
"70","AT1G04163"
"71","AT1G04220"
"72","AT1G04233"
"73","AT1G04247"
"74","AT1G04295"
"75","AT1G04353"
"76","AT1G04357"
"77","AT1G04360"
"78","AT1G04433"
"79","AT1G04463"
"80","AT1G04487"
"81","AT1G04513"
"82","AT1G04540"
"83","AT1G04555"
"84","AT1G04570"
"85","AT1G04580"
"86","AT1G04635"
"87","AT1G04647"
"88","AT1G04660"
"89","AT1G04700"
"90","AT1G04760"
"91","AT1G04823"
"92","AT1G04840"
"93","AT1G04880"
"94","AT1G04917"
"95","AT1G04920"
"96","AT1G04930"
"97","AT1G05000"
"98","AT1G05087"
"99","AT1G05210"
"100","AT1G05260"
"101","AT1G05310"
"102","AT1G05370"
"103","AT1G05400"
"104","AT1G05420"
"105","AT1G05440"
"106","AT1G05453"
"107","AT1G05490"
"108","AT1G05550"
"109","AT1G05557"
"110","AT1G05575"
"111","AT1G05640"
"112","AT1G05675"
"113","AT1G05687"
"114","AT1G05710"
"115","AT1G05750"
"116","AT1G05753"
"117","AT1G05780"
"118","AT1G05785"
"119","AT1G05820"
"120","AT1G05837"
"121","AT1G05873"
"122","AT1G05950"
"123","AT1G06010"
"124","AT1G06050"
"125","AT1G06100"
"126","AT1G06140"
"127","AT1G06143"
"128","AT1G06227"
"129","AT1G06265"
"130","AT1G06270"
"131","AT1G06350"
"132","AT1G06420"
"133","AT1G06440"
"134","AT1G06450"
"135","AT1G06475"
"136","AT1G06490"
"137","AT1G06520"
"138","AT1G06580"
"139","AT1G06620"
"140","AT1G06660"
"141","AT1G06740"
"142","AT1G06830"
"143","AT1G06910"
"144","AT1G06980"
"145","AT1G07020"
"146","AT1G07119"
"147","AT1G07128"
"148","AT1G07130"
"149","AT1G07150"
"150","AT1G07167"
"151","AT1G07260"
"152","AT1G07270"
"153","AT1G07290"
"154","AT1G07300"
"155","AT1G07330"
"156","AT1G07477"
"157","AT1G07490"
"158","AT1G07620"
"159","AT1G07667"
"160","AT1G07737"
"161","AT1G07740"
"162","AT1G07745"
"163","AT1G07753"
"164","AT1G07880"
"165","AT1G07887"
"166","AT1G08050"
"167","AT1G08070"
"168","AT1G08160"
"169","AT1G08180"
"170","AT1G08290"
"171","AT1G08300"
"172","AT1G08310"
"173","AT1G08315"
"174","AT1G08340"
"175","AT1G08390"
"176","AT1G08500"
"177","AT1G08630"
"178","AT1G08727"
"179","AT1G08757"
"180","AT1G08890"
"181","AT1G08940"
"182","AT1G09000"
"183","AT1G09040"
"184","AT1G09050"
