"","WS_c1.which.mclass....6...1."
"290","AT1G79920"
"291","AT1G79930"
"292","AT1G80070"
"293","AT1G80300"
"294","AT1G80380"
"295","AT1G80600"
"296","AT2G01110"
"297","AT2G01250"
"298","AT2G01570"
"299","AT2G04842"
"300","AT2G05520"
"301","AT2G05620"
"302","AT2G05710"
"303","AT2G05914"
"304","AT2G05920"
"305","AT2G05990"
"306","AT2G06850"
"307","AT2G14910"
"308","AT2G15620"
"309","AT2G16500"
"310","AT2G16600"
"311","AT2G17360"
"312","AT2G18440"
"313","AT2G18710"
"314","AT2G19480"
"315","AT2G19730"
"316","AT2G20360"
"317","AT2G20420"
"318","AT2G20570"
"319","AT2G20580"
"320","AT2G20610"
"321","AT2G20860"
"322","AT2G20990"
"323","AT2G21390"
"324","AT2G21660"
"325","AT2G21870"
"326","AT2G22125"
"327","AT2G22360"
"328","AT2G22430"
"329","AT2G22670"
"330","AT2G22990"
"331","AT2G23120"
"332","AT2G23350"
"333","AT2G23420"
"334","AT2G23600"
"335","AT2G23810"
"336","AT2G24090"
"337","AT2G24200"
"338","AT2G24280"
"339","AT2G24790"
"340","AT2G24820"
"341","AT2G25080"
"342","AT2G25450"
"343","AT2G25510"
"344","AT2G26140"
"345","AT2G26250"
"346","AT2G26690"
"347","AT2G26900"
"348","AT2G26910"
"349","AT2G27420"
"350","AT2G27530"
"351","AT2G27680"
"352","AT2G27710"
"353","AT2G27720"
"354","AT2G27860"
"355","AT2G28290"
"356","AT2G28800"
"357","AT2G28910"
"358","AT2G29450"
"359","AT2G29550"
"360","AT2G29630"
"361","AT2G29650"
"362","AT2G30110"
"363","AT2G30390"
"364","AT2G30490"
"365","AT2G30520"
"366","AT2G30600"
"367","AT2G30620"
"368","AT2G30870"
"369","AT2G31360"
"370","AT2G31610"
"371","AT2G31790"
"372","AT2G31880"
"373","AT2G31960"
"374","AT2G32060"
"375","AT2G32230"
"376","AT2G32240"
"377","AT2G32480"
"378","AT2G32730"
"379","AT2G33040"
"380","AT2G33150"
"381","AT2G33370"
"382","AT2G33450"
"383","AT2G34250"
"384","AT2G34460"
"385","AT2G34480"
"386","AT2G34660"
"387","AT2G34860"
"388","AT2G35050"
"389","AT2G35260"
"390","AT2G35390"
"391","AT2G35490"
"392","AT2G36160"
"393","AT2G36460"
"394","AT2G36630"
"395","AT2G36910"
"396","AT2G36990"
"397","AT2G37040"
"398","AT2G37190"
"399","AT2G37270"
"400","AT2G37660"
"401","AT2G38040"
"402","AT2G38140"
"403","AT2G38170"
"404","AT2G38230"
"405","AT2G39010"
"406","AT2G39190"
"407","AT2G39460"
"408","AT2G39470"
"409","AT2G40000"
"410","AT2G40100"
"411","AT2G40140"
"412","AT2G40400"
"413","AT2G40490"
"414","AT2G40840"
"415","AT2G41090"
"416","AT2G41100"
"417","AT2G41140"
"418","AT2G41430"
"419","AT2G41680"
"420","AT2G42220"
"421","AT2G42490"
"422","AT2G42590"
"423","AT2G42840"
"424","AT2G43090"
"425","AT2G43160"
"426","AT2G43460"
"427","AT2G43680"
"428","AT2G43710"
"429","AT2G43750"
"430","AT2G43910"
"431","AT2G44060"
"432","AT2G44100"
"433","AT2G44120"
"434","AT2G44160"
"435","AT2G45470"
"436","AT2G45740"
"437","AT2G46280"
"438","AT2G46340"
"439","AT2G46830"
"440","AT2G47070"
"441","AT2G47110"
"442","AT2G47170"
"443","AT2G47390"
"444","AT2G47450"
"445","AT2G47590"
"446","AT2G47610"
"447","AT2G47730"
"448","AT2G47800"
"449","AT2G47940"
"450","AT3G01060"
"451","AT3G01280"
"452","AT3G01480"
"453","AT3G01540"
"454","AT3G01910"
"455","AT3G02020"
"456","AT3G02080"
"457","AT3G02090"
"458","AT3G02260"
"459","AT3G02360"
"460","AT3G02560"
"461","AT3G02730"
"462","AT3G02830"
"463","AT3G03250"
"464","AT3G03710"
"465","AT3G03770"
"466","AT3G04340"
"467","AT3G04840"
"468","AT3G04870"
"469","AT3G04920"
"470","AT3G05560"
"471","AT3G05590"
"472","AT3G05730"
"473","AT3G05840"
"474","AT3G05900"
"475","AT3G06510"
"476","AT3G06650"
"477","AT3G07100"
"478","AT3G07110"
"479","AT3G07160"
"480","AT3G07460"
"481","AT3G07470"
"482","AT3G07700"
"483","AT3G08030"
"484","AT3G08510"
"485","AT3G08530"
"486","AT3G08590"
"487","AT3G08730"
"488","AT3G08740"
"489","AT3G09350"
"490","AT3G09390"
"491","AT3G09820"
"492","AT3G10230"
"493","AT3G10420"
"494","AT3G10920"
"495","AT3G11130"
"496","AT3G11510"
"497","AT3G11560"
"498","AT3G11700"
"499","AT3G11710"
"500","AT3G11940"
"501","AT3G12050"
"502","AT3G12345"
"503","AT3G13080"
"504","AT3G13120"
"505","AT3G13410"
"506","AT3G13460"
"507","AT3G13750"
"508","AT3G14067"
"509","AT3G14110"
"510","AT3G14230"
"511","AT3G14240"
"512","AT3G14310"
"513","AT3G14930"
"514","AT3G15190"
"515","AT3G15210"
"516","AT3G15353"
"517","AT3G15450"
"518","AT3G15730"
"519","AT3G15840"
"520","AT3G15850"
"521","AT3G16000"
"522","AT3G16370"
"523","AT3G16400"
"524","AT3G16420"
"525","AT3G16670"
"526","AT3G16770"
"527","AT3G16910"
"528","AT3G17020"
"529","AT3G17800"
"530","AT3G18080"
"531","AT3G18390"
"532","AT3G18490"
"533","AT3G18740"
"534","AT3G18890"
"535","AT3G19170"
"536","AT3G19450"
"537","AT3G19710"
"538","AT3G19720"
"539","AT3G19760"
"540","AT3G20050"
"541","AT3G20390"
"542","AT3G21670"
"543","AT3G21690"
"544","AT3G22200"
"545","AT3G22230"
"546","AT3G22380"
"547","AT3G22440"
"548","AT3G22960"
"549","AT3G23050"
"550","AT3G23400"
"551","AT3G23600"
"552","AT3G23700"
"553","AT3G23810"
"554","AT3G23820"
"555","AT3G23940"
"556","AT3G23990"
"557","AT3G24160"
"558","AT3G24170"
"559","AT3G24190"
"560","AT3G24430"
"561","AT3G24830"
"562","AT3G25230"
"563","AT3G25660"
"564","AT3G25690"
"565","AT3G26060"
"566","AT3G26070"
"567","AT3G26710"
"568","AT3G26740"
"569","AT3G27090"
"570","AT3G27160"
"571","AT3G27820"
"572","AT3G27850"
"573","AT3G28180"
"574","AT3G28860"
"575","AT3G29240"
"576","AT3G29320"
"577","AT3G29360"
"578","AT3G30390"
"579","AT3G42050"
"580","AT3G44110"
"581","AT3G44260"
"582","AT3G44890"
"583","AT3G45140"
"584","AT3G45780"
"585","AT3G46620"
"586","AT3G46740"
"587","AT3G46970"
"588","AT3G47070"
"589","AT3G47650"
"590","AT3G48000"
"591","AT3G48140"
"592","AT3G48200"
"593","AT3G48420"
"594","AT3G48730"
"595","AT3G48870"
"596","AT3G48930"
"597","AT3G48990"
"598","AT3G49010"
"599","AT3G49220"
"600","AT3G49680"
"601","AT3G49910"
"602","AT3G50060"
"603","AT3G50370"
"604","AT3G51550"
"605","AT3G51800"
"606","AT3G51820"
"607","AT3G51950"
"608","AT3G52140"
"609","AT3G52150"
"610","AT3G52300"
"611","AT3G52380"
"612","AT3G52590"
"613","AT3G52800"
"614","AT3G52880"
"615","AT3G52930"
"616","AT3G53020"
"617","AT3G53260"
"618","AT3G53430"
"619","AT3G53740"
"620","AT3G53870"
"621","AT3G54400"
"622","AT3G54600"
"623","AT3G54660"
"624","AT3G55330"
"625","AT3G55410"
"626","AT3G55610"
"627","AT3G55980"
"628","AT3G56040"
"629","AT3G56150"
"630","AT3G56240"
"631","AT3G56290"
"632","AT3G56800"
"633","AT3G56880"
"634","AT3G56910"
"635","AT3G57450"
"636","AT3G57520"
"637","AT3G58140"
"638","AT3G59400"
"639","AT3G59410"
"640","AT3G59780"
"641","AT3G59920"
"642","AT3G59970"
"643","AT3G60240"
"644","AT3G60245"
"645","AT3G60770"
"646","AT3G61430"
"647","AT3G61580"
"648","AT3G61870"
"649","AT3G62120"
"650","AT3G62250"
"651","AT3G62410"
"652","AT3G62530"
"653","AT3G62870"
"654","AT3G63160"
"655","AT3G63190"
"656","AT3G63460"
"657","AT3G63520"
"658","AT3G63540"
"659","AT4G00100"
"660","AT4G00370"
"661","AT4G01310"
"662","AT4G01690"
"663","AT4G01800"
"664","AT4G01850"
"665","AT4G02230"
"666","AT4G02260"
"667","AT4G02380"
"668","AT4G02480"
"669","AT4G02520"
"670","AT4G02530"
"671","AT4G02570"
"672","AT4G02890"
"673","AT4G02920"
"674","AT4G03210"
"675","AT4G03260"
"676","AT4G03520"
"677","AT4G04020"
"678","AT4G04610"
"679","AT4G04770"
"680","AT4G04850"
"681","AT4G08390"
"682","AT4G08920"
"683","AT4G08950"
"684","AT4G09000"
"685","AT4G09010"
"686","AT4G09320"
"687","AT4G10120"
"688","AT4G10320"
"689","AT4G10480"
"690","AT4G11010"
"691","AT4G11150"
"692","AT4G11280"
"693","AT4G11420"
"694","AT4G11570"
"695","AT4G12400"
"696","AT4G12420"
"697","AT4G12470"
"698","AT4G12730"
"699","AT4G13505"
"700","AT4G13510"
"701","AT4G13840"
"702","AT4G13930"
"703","AT4G14030"
"704","AT4G14210"
"705","AT4G14880"
"706","AT4G15000"
"707","AT4G15530"
"708","AT4G15545"
"709","AT4G15550"
"710","AT4G16190"
"711","AT4G16370"
"712","AT4G16490"
"713","AT4G16983"
"714","AT4G16990"
"715","AT4G17040"
"716","AT4G17090"
"717","AT4G17330"
"718","AT4G17390"
"719","AT4G17520"
"720","AT4G17560"
"721","AT4G17600"
"722","AT4G17840"
"723","AT4G18100"
"724","AT4G18730"
"725","AT4G18810"
"726","AT4G18970"
"727","AT4G19110"
"728","AT4G19410"
"729","AT4G20260"
"730","AT4G20830"
"731","AT4G20850"
"732","AT4G21210"
"733","AT4G21650"
"734","AT4G21860"
"735","AT4G21990"
"736","AT4G22240"
"737","AT4G22690"
"738","AT4G23100"
"739","AT4G23400"
"740","AT4G23630"
"741","AT4G23670"
"742","AT4G23850"
"743","AT4G24570"
"744","AT4G24620"
"745","AT4G24690"
"746","AT4G25080"
"747","AT4G25130"
"748","AT4G25570"
"749","AT4G25700"
"750","AT4G25740"
"751","AT4G26530"
"752","AT4G26630"
"753","AT4G26970"
"754","AT4G27030"
"755","AT4G27090"
"756","AT4G27280"
"757","AT4G27430"
"758","AT4G27440"
"759","AT4G27500"
"760","AT4G27520"
"761","AT4G27600"
"762","AT4G27800"
"763","AT4G28660"
"764","AT4G29010"
"765","AT4G29350"
"766","AT4G29780"
"767","AT4G30190"
"768","AT4G30210"
"769","AT4G30270"
"770","AT4G30440"
"771","AT4G30530"
"772","AT4G30920"
"773","AT4G30960"
"774","AT4G31180"
"775","AT4G31390"
"776","AT4G31700"
"777","AT4G31990"
"778","AT4G32020"
"779","AT4G32060"
"780","AT4G32410"
"781","AT4G32460"
"782","AT4G33090"
"783","AT4G33510"
"784","AT4G33630"
"785","AT4G33680"
"786","AT4G34050"
"787","AT4G34190"
"788","AT4G34200"
"789","AT4G34240"
"790","AT4G34450"
"791","AT4G34670"
"792","AT4G34720"
"793","AT4G34830"
"794","AT4G34870"
"795","AT4G34890"
"796","AT4G35000"
"797","AT4G35100"
"798","AT4G35250"
"799","AT4G35450"
"800","AT4G35800"
"801","AT4G35830"
"802","AT4G36130"
"803","AT4G36220"
"804","AT4G36360"
"805","AT4G36390"
"806","AT4G36530"
"807","AT4G37300"
"808","AT4G37510"
"809","AT4G37760"
"810","AT4G37800"
"811","AT4G37870"
"812","AT4G37910"
"813","AT4G38430"
"814","AT4G38510"
"815","AT4G38600"
"816","AT4G38740"
"817","AT4G38800"
"818","AT4G38920"
"819","AT4G39080"
"820","AT4G39090"
"821","AT4G39200"
"822","AT4G39330"
"823","AT4G39350"
"824","AT4G39400"
"825","AT4G39800"
"826","AT4G39970"
"827","AT4G40030"
"828","AT4G40040"
"829","AT5G01590"
"830","AT5G01600"
"831","AT5G01920"
"832","AT5G02160"
"833","AT5G02240"
"834","AT5G02450"
"835","AT5G02480"
"836","AT5G02490"
"837","AT5G02790"
"838","AT5G02810"
"839","AT5G02830"
"840","AT5G02940"
"841","AT5G02960"
"842","AT5G03040"
"843","AT5G03240"
"844","AT5G03280"
"845","AT5G03630"
"846","AT5G03880"
"847","AT5G03940"
"848","AT5G04430"
"849","AT5G05010"
"850","AT5G05200"
"851","AT5G05580"
"852","AT5G05740"
"853","AT5G06220"
"854","AT5G06290"
"855","AT5G06320"
"856","AT5G07020"
"857","AT5G07090"
"858","AT5G07350"
"859","AT5G08050"
"860","AT5G08280"
"861","AT5G08530"
"862","AT5G08640"
"863","AT5G08650"
"864","AT5G08670"
"865","AT5G08680"
"866","AT5G08690"
"867","AT5G09220"
"868","AT5G09590"
"869","AT5G09650"
"870","AT5G09870"
"871","AT5G10180"
"872","AT5G10360"
"873","AT5G10450"
"874","AT5G10470"
"875","AT5G10960"
"876","AT5G11500"
"877","AT5G11670"
"878","AT5G11740"
"879","AT5G11770"
"880","AT5G12110"
"881","AT5G12150"
"882","AT5G12250"
"883","AT5G12470"
"884","AT5G13000"
"885","AT5G13120"
"886","AT5G13450"
"887","AT5G13510"
"888","AT5G13770"
"889","AT5G13930"
"890","AT5G14040"
"891","AT5G14060"
"892","AT5G14200"
"893","AT5G14320"
"894","AT5G14780"
"895","AT5G14800"
"896","AT5G14910"
"897","AT5G14920"
"898","AT5G15090"
"899","AT5G15350"
"900","AT5G15410"
"901","AT5G15450"
"902","AT5G15650"
"903","AT5G15780"
"904","AT5G15950"
"905","AT5G16130"
"906","AT5G16150"
