1,AT1G01010
2,AT1G01020
3,AT1G01030
4,AT1G01040
5,AT1G01060
6,AT1G01070
7,AT1G01080
8,AT1G01110
9,AT1G01120
10,AT1G01130
11,AT1G01140
12,AT1G01150
13,AT1G01160
14,AT1G01170
15,AT1G01180
16,AT1G01183
17,AT1G01190
18,AT1G01200
19,AT1G01210
20,AT1G01220
21,AT1G01225
22,AT1G01230
23,AT1G01240
24,AT1G01260
25,AT1G01290
26,AT1G01300
27,AT1G01310
28,AT1G01320
29,AT1G01340
30,AT1G01350
31,AT1G01360
32,AT1G01370
33,AT1G01380
34,AT1G01420
35,AT1G01430
36,AT1G01440
37,AT1G01448
38,AT1G01450
39,AT1G01453
40,AT1G01470
41,AT1G01480
42,AT1G01490
43,AT1G01500
44,AT1G01510
45,AT1G01520
46,AT1G01540
47,AT1G01560
48,AT1G01570
49,AT1G01580
50,AT1G01600
51,AT1G01610
52,AT1G01630
53,AT1G01640
54,AT1G01650
55,AT1G01660
56,AT1G01670
57,AT1G01680
58,AT1G01690
59,AT1G01695
60,AT1G01700
61,AT1G01710
62,AT1G01715
63,AT1G01725
64,AT1G01730
65,AT1G01740
66,AT1G01750
67,AT1G01760
68,AT1G01770
69,AT1G01780
70,AT1G01790
71,AT1G01810
72,AT1G01820
73,AT1G01830
74,AT1G01840
75,AT1G01860
76,AT1G01880
77,AT1G01900
78,AT1G01910
79,AT1G01920
80,AT1G01930
81,AT1G01940
82,AT1G01950
83,AT1G01960
84,AT1G01970
85,AT1G01990
86,AT1G02000
87,AT1G02010
88,AT1G02020
89,AT1G02030
90,AT1G02050
91,AT1G02060
92,AT1G02080
93,AT1G02090
94,AT1G02100
95,AT1G02110
96,AT1G02120
97,AT1G02145
98,AT1G02150
99,AT1G02160
100,AT1G02170
101,AT1G02180
102,AT1G02205
103,AT1G02220
104,AT1G02230
105,AT1G02260
106,AT1G02270
107,AT1G02280
108,AT1G02290
109,AT1G02300
110,AT1G02310
111,AT1G02330
112,AT1G02335
113,AT1G02340
114,AT1G02350
115,AT1G02360
116,AT1G02370
117,AT1G02380
118,AT1G02390
119,AT1G02400
120,AT1G02410
121,AT1G02420
122,AT1G02430
123,AT1G02440
124,AT1G02450
125,AT1G02460
126,AT1G02470
127,AT1G02475
128,AT1G02490
129,AT1G02510
130,AT1G02520
131,AT1G02530
132,AT1G02560
133,AT1G02570
